site     long.      lat. 	   X		   Y		    Z 		 s_year  e_year    d_year
 UBER  -48.3170  -18.8895     4014997.2091    -4509022.4618    -2052040.5817    2010.001 2014.226   4.22 
 UCNF  -70.4093  -23.6790     1959617.1982    -5506063.4051    -2545790.0143    2005.327 2016.488  11.16 
 UCOR  -64.1935  -31.4350     2371430.0305    -4904119.9740    -3307377.4538    2004.258 2021.988  17.73 
 UDAT  -70.3544  -27.3572     1905977.4358    -5339165.3062    -2913614.8349    2014.758 2021.988   7.23 
 UDEC  -72.3448  -37.4723     1537193.2735    -4829688.4115    -3859233.5076    2010.001 2021.744  11.74 
 UFPR  -49.2310  -25.4484     3763751.6709    -4365113.8568    -2724404.6190    2007.747 2021.988  14.24 
 UNRO  -60.6284  -32.9594     2627448.1875    -4668383.1774    -3450213.5082    2004.250 2021.988  17.74 
 UNSA  -65.4076  -24.7275     2412830.3993    -5271936.7330    -2652209.0939    2000.004 2021.988  21.98 
 UNSJ  -68.5771  -31.5413     1987485.0365    -5065493.3537    -3317557.4768    2007.177 2021.988  14.81 
 URCU  -70.1529  -21.7637     2012052.3258    -5574303.9189    -2350168.1038    2007.925 2008.898   0.97 
 URUS  -67.1144  -17.9528     2361785.5348    -5595048.6642    -1954576.6763    2010.048 2019.864   9.82 
 UTAR  -70.2965  -18.4906     2040107.7986    -5696703.7044    -2009987.6162    2003.927 2021.988  18.06 
 UYPA  -58.0672  -32.2912     2854570.6897    -4580210.9759    -3387815.1216    2011.001 2021.988  10.99 
 VALL  -70.7644  -28.5720     1846932.3016    -5293067.9580    -3032521.6957    2008.449 2021.336  12.89 
 VALN  -71.6350  -33.0279     1686528.3028    -5080258.0250    -3456621.0393    2005.358 2021.985  16.63 
 VBCA  -62.2692  -38.7008     2319240.8130    -4411743.9417    -3966484.1166    2005.001 2021.988  16.99 
 VITA  -72.8647  -36.4236     1513878.8055    -4910183.6779    -3766132.8155    2010.193 2021.982  11.79 
 VLZL  -69.9647  -23.1172     2011212.9239    -5515183.9005    -2489275.4582    2006.738 2021.988  15.25 
 VNEV  -70.2491  -33.3536     1803071.6824    -5021712.7574    -3488483.3051    2003.021 2021.368  18.35 
 YCBA  -63.6800  -22.0171     2623233.4181    -5303044.7975    -2376415.9968    2011.396 2021.988  10.59 
 ZAPA  -71.4656  -32.5528     1710593.8763    -5102238.3658    -3412274.2632    2010.182 2021.985  11.80 
 
